number,description,gauge,set,image
44,"locomotive, missile launcher, U.S. Army",O,2527,44_web.jpg
45,"locomotive, missile launcher, U.S.M.C.",0-27,1805,45_web.jpg
88,"controller, reversing",,2120S,88_web.jpg
97,"coal elevator, operating",,4110WS,97_web.jpg
109,"trestle set, 12 piece",,2574,
110,"trestle set, graduated",,2551W,
112,"switches, pair",O,13150,
114,engine house,HO,2555W,
147,"controller, horn or whistle",,1645,
164,lumber shed,,1421WS,164_web.jpg
167,whistle controller,,463W,
175,rocket launcher,,2545WS,
202,"locomotive, diesel, A unit, UP Alco, powered",0-27,1569,202_web.jpg
212,"locomotive, diesel, A unit, U.S.M.C Alco, powered",0-27,1591,212_web.jpg
216,"locomotive, diesel, A unit, Burlington Alco, powered",0-27,1600,
221,"locomotive, diesel, A unit, Denver & Rio Grande Alco, powered",0-27,1400,221_NYC_web.jpg
222,"locomotive, diesel, A unit, Rio Grande Alco, powered",0-27,11011,222_web.jpg
224,locomotive,O,463W,224_web.jpg
225,"locomotive, diesel, A unit, C & O Alco, powered",0-27,1629,
229,"locomotive, diesel, A unit, M & SL Alco, powered",0-27,1645,229_web.jpg
230,"locomotive, diesel, A unit, C & O Alco, powered",0-27,1643,
231,"locomotive, diesel, A unit, Rock Island Alco, powered",0-27,1810,
232,"locomotive, diesel, A unit, New Haven Alco, powered",0-27,11232,
233,"locomotive, 2-4-2",0-27,1646,
236,"locomotive, 2-4-2",0-27,1652,
237,"locomotive, 2-4-2",0-27,11351,
238,"locomotive, 2-4-2",0-27,11375,
239,"locomotive, 2-4-2",0-27,11540,
242,"locomotive, 2-4-2",0-27,11201,242_web.jpg
243,"locomotive, 2-4-2",0-27,1631WS,243_web.jpg
244,"locomotive, 2-4-2",0-27,1627S,
246,"locomotive, 2-4-2",0-27,1609,
247,"locomotive, 2-4-2, blue-striped",0-27,1613S,
249,"locomotive, red-striped, 2-4-2",0-27,1590,
250,"locomotive, 2-4-2",,1573,
260,"bumper, illuminated",,2553W,
264,"forklift loader, operating",,2297WS,264_web.jpg
342,culvert loader,,2273W,342_web.jpg
345,culvert unloader,,2297WS,345_web.jpg
362,barrel loader,,,362_web.jpg
364,"lumber loader, conveyor",,,364_web.jpg
400,"locomotive, diesel Budd RDC car, passenger car",O,2502W,400_web.jpg
404,"locomotive, diesel Budd RDC car, mail-baggage ",O,2276W,404_web.jpg
448,"range set, millile firing, with 6448 exploding boxcar",,2574,
456,coal ramp,,,456_web.jpg
464,saw mill,,2539WS,464_web.jpg
470,missile launching platform with 6470 exploding boxcar,,13058,
520,"locomotive, GE box cab",,1542,520_web.jpg
600,"locomotive, diesel switcher, MKT NW-2",0-27,1525,600_web.jpg
601,"locomotive, diesel switcher, Seaboard NW-2",O,2255W,601_web.jpg
602,"locomotive, diesel switcher, Seaboard NW-2",0-27,1585W,
610,"locomotive, diesel switcher, Erie NW-2 ",0-27,1001,610_web.jpg
611,"locomotive, diesel switcher, Jersey Central NW-2",0-27,1581,
613,"locomotive, diesel, switcher, Union Pacific NW-2",0-27,1593,
614,"locomotive, diesel, switcher, Alaskan NW-2",0-27,1611,614_web.jpg
616,"locomotive, diesel, switcher, Santa Fe NW-2",O,2570,616_web.jpg
617,"locomotive, diesel, switcher, Santa Fe NW-2",O,13108,617_web.jpg
621,"locomotive, diesel NW-2 switcher, Jersey Central",0-27,1551W,621_web.jpg
622,"locomotive, diesel switcher SF bell ringing",O,2149B,622_web.jpg
